Time_min,Temp_In_C,Temp_Out_C
48.4333333333333,70.1,61.24
48.45,70.21,60.96
48.4666666666667,69.99,60.91
48.4833333333333,70.16,60.93
48.5,70.54,61.12
48.5166666666667,70.03,60.31
48.5333333333333,70.12,60.59
48.55,70.03,61
48.5666666666667,70.05,60.8
48.5833333333333,69.97,60.41
48.6,70.19,60.93
48.6166666666667,70.52,61.19
48.6333333333333,70.06,60.74
48.65,69.92,60.6
48.6666666666667,69.78,60.19
48.6833333333333,69.07,60.94
48.7,69.11,60.51
48.7166666666667,69.59,60.89
48.7333333333333,70.09,61.03
48.75,69.96,61.12
48.7666666666667,69.97,61.08
48.7833333333333,69.9,60.97
48.8,70.02,61.42
48.8166666666667,69.45,61.22
48.8333333333333,70.06,61.21
48.85,70.15,61.59
48.8666666666667,69.85,61.45
48.8833333333333,69.97,61.49
48.9,70.44,61.71
48.9166666666667,69.85,61.93
48.9333333333333,69.59,62.07
48.95,69.72,61.87
48.9666666666667,69.96,61.85
48.9833333333333,70.15,61.76
49,69.98,62.31
49.0166666666667,70.33,62.64
49.05,69.93,62.61
49.0666666666667,70.15,62.2
49.0833333333333,69.58,62.37
49.1,69.72,62.49
49.1166666666667,69.86,63.17
49.1333333333333,70.01,63.3
49.15,69.79,63.24
49.1666666666667,70.57,62.68
49.1833333333333,69.76,63.27
49.2,69.92,63.68
49.2166666666667,69.91,63.85
49.2333333333333,69.45,64.74
49.25,69.49,64.33
49.2666666666667,69.68,64.38
49.2833333333333,69.55,64.66
49.3,69.68,65.35
49.3166666666667,69.68,65.57
49.3333333333333,69.98,64.96
49.35,69.73,65.73
49.3666666666667,68.79,66.31
49.3833333333333,69.1,66.16
49.4,69.36,66.58
49.4166666666667,69.74,66.79
49.4333333333333,69.6,67.53
49.45,69.37,67.12
49.4666666666667,69.24,67.64
49.4833333333333,69.54,68.05
49.5,70.2,68.13
49.5166666666667,69.06,68.56
49.5333333333333,69.19,68.63
49.55,69.22,69.68
49.5666666666667,69.54,69.31
49.5833333333333,68.18,69.83
49.6,69.53,69.67
49.6166666666667,69.55,70.05
49.6333333333333,69.8,70.39
49.65,69.5,70.71
49.6666666666667,70.01,71.37
49.6833333333333,70.02,70.98
49.7,69.55,71.07
49.7166666666667,69.69,71.77
49.7333333333333,69.6,71.96
49.75,69.79,71.62
49.7666666666667,69.68,71.59
49.7833333333333,69.6,71.86
49.8,69.86,72
49.8166666666667,69.91,72
49.8333333333333,69.74,71.55
49.85,69.63,71.65
49.8666666666667,69.75,71.48
49.9,69.77,71.34
49.9166666666667,69.45,70.99
49.9333333333333,69.59,70.75
49.95,69.44,70.95
49.9666666666667,69.55,70.81
49.9833333333333,69.57,70.54
50,69.36,70.59
50.0166666666667,69.73,70.34
50.0333333333333,69.6,70.42
50.05,69.64,70.11
50.0666666666667,69.67,69.94
50.0833333333333,69.88,69.53
50.1,69.64,69.36
50.1166666666667,69.4,69.48
50.1333333333333,69.27,69.68
