Hours,T_In,T_Out
28.8333333333333,53.26,58.83
28.9166666666667,51.2400000000002,51.5099999999968
29,52.46,46.8
29.0833333333333,53.76,52.23
29.1666666666667,51.2700000000001,66.2999999999968
29.25,51.99,48.23
29.3333333333333,52.38,53.79
29.4166666666667,52.9999999999995,60.6400000000022
29.5,51.79,54.06
29.5833333333333,51.93,55.37
29.6666666666667,52.9899999999997,47.6400000000007
29.75,52.6,53.94
29.8333333333333,51.98,64.95
29.9166666666667,52.4699999999998,52.9299999999986
30,53.57,47.93
30.0833333333333,53.37,54.8
30.1666666666667,52.1,58.9599999999953
30.25,54.01,49.84
30.3333333333333,52.72,58.31
30.4166666666667,52.7799999999993,61.7499999999977
30.5,53.76,50.64
30.5833333333333,52.48,61.7
30.6666666666667,52.0800000000002,55.8099999999971
30.75,53.2,49.7
30.8333333333333,52.3,59.14
30.9166666666667,51.9100000000001,58.4399999999978
31,52.6,48.06
31.0833333333333,53.05,53.65
31.1666666666667,53.0599999999994,62.7999999999973
31.25,52.75,50.38
31.3333333333333,52.09,52.97
31.4166666666667,51.5300000000005,62.9999999999994
31.5,52.05,55.67
31.5833333333333,52.69,48.02
31.6666666666667,53.37,54.7800000000016
31.75,51.37,64.13
31.8333333333333,53.15,47.53
31.9166666666667,52.5900000000007,51.7500000000004
32,51.45,64.74
32.0833333333333,51.8100000000015,49.7200000000001
32.1666666666667,53.61,56.04
32.25,51.66,64.61
32.3333333333333,52.0200000000011,47.4500000000056
32.4166666666667,53.32,53.44
32.5,52.6,59.34
32.5833333333333,51.6900000000004,51.1599999999969
32.6666666666667,52.8,49.43
32.75,51.69,61.77
32.8333333333333,51.4499999999998,48.0499999999987
32.9166666666667,52.95,50.4
33,53.73,60.82
33.0833333333333,52.8499999999997,50.3700000000009
33.1666666666667,53.87,57.38
33.25,51.34,64.34
33.3333333333333,52.6899999999998,50.8400000000005
33.4166666666667,52.4,53.67
33.5,52.12,60.42
33.5833333333333,51.8599999999995,54.009999999995
33.6666666666667,53.21,48.94
33.75,52.76,58.09
33.8333333333333,52.1199999999983,52.3399999999964
33.9166666666667,53.21,49.03
34,51.96,65.46
34.0833333333333,53.6300000000003,48.9499999999997
34.1666666666667,51.9,55.29
34.25,51.63,63.97
34.3333333333333,52.2300000000007,51.5099999999977
34.4166666666667,53.21,55.76
34.5,52.19,62.85
34.5833333333333,52.4099999999997,49.3799999999981
34.6666666666667,53.12,50.39
34.75,51.94,63.47
34.8333333333333,52.0099999999994,50.9599999999972
34.9166666666667,53,50.32
35,52.8299999999975,64.690000000001
35.0833333333333,52.8000000000009,49.2999999999997
35.1666666666667,52.7799999999997,56.7100000000027
35.25,52.4499999999999,65.1199999999995
35.3333333333333,51.060000000002,52.0299999999981
35.4166666666667,53.9899999999992,52.8200000000019
35.5,51.57,62.8200000000007
35.5833333333333,52.0100000000004,48.7299999999998
35.6666666666667,53.2499999999994,50.62
35.75,51.7900000000015,59.8000000000037
