Hours,T_In,T_Out
2.3088,66.0724000000005,71.4232
2.31435,65.5527999999996,68.9711999999983
2.3199,65.6604000000001,71.6903999999992
2.32545,65.4755999999999,69.2012000000002
2.331,65.908,71.9620000000004
2.33655,65.7906,70.6329999999999
2.3421,66.4932000000019,70.9004000000007
2.34765,66.4162000000001,70.5393999999993
2.3532,66.1372000000006,70.4328000000004
2.35875,66.3099999999999,70.895
2.3643,66.364,69.4627999999999
2.36985,66.1620000000001,71.3231999999999
2.3754,65.8668000000001,69.6848000000001
2.38095,66.2702000000001,71.8482000000002
2.3865,65.8880000000015,69.1199999999996
2.39205,66.3098000000002,71.8610000000004
2.3976,66.764399999999,69.3607999999998
2.40315,66.2211999999998,71.2268000000006
2.4087,66.1087999999998,70.3052
2.41425,66.2069999999999,71.493
2.4198,66.4244,69.9551999999999
2.42535,66.759,71.4398
2.4309,66.1635999999991,70.0016000000001
2.43645,66.5467999999998,70.1326000000025
2.442,66.2359999999981,70.9519999999997
2.44755,66.9173999999971,69.9926000000002
2.4531,66.2607999999997,71.6767999999986
2.45865,66.399999999995,69.4882000000003
2.4642,66.3879999999998,71.3204000000004
2.46975,66.2660000000015,69.6589999999969
2.4753,66.9519999999996,71.3952000000004
2.48085,66.5603999999997,70.5713999999994
2.4864,66.3552000000007,70.1528000000006
2.49195,66.271000000001,70.7778000000007
2.4975,66.5099999999966,69.6600000000003
2.50305,66.9490000000015,71.8362000000003
2.5086,65.6339999999978,68.4899999999983
2.51415,66.6822000000002,72.5586000000008
2.5197,66.5576000000011,69.5248000000005
2.52525,66.2550000000001,71.2940000000002
2.5308,66.7651999999995,69.8583999999962
2.53635,66.9595999999985,70.4662000000004
2.5419,66.8151999999979,70.8679999999999
2.54745,66.988200000001,69.6809999999991
2.553,66.8939999999997,72.1179999999999
2.55855,66.7430000000006,69.2423999999984
2.5641,66.2156000000001,71.933600000001
2.56965,66.5950000000008,70.2866000000018
2.5752,67.1380000000012,71.7064000000011
2.58075,66.8230000000014,70.8479999999998
2.5863,66.2379999999996,70.2660000000005
2.59185,67.4366000000011,71.1054000000004
2.5974,66.1015999999965,69.364399999999
2.60295,66.6420000000001,71.7657999999989
2.6085,66.5760000000002,69.5060000000009
2.61405,67.3871999999997,71.7464000000002
2.6196,67.5272000000002,70.3251999999979
2.62515,66.8589999999997,71.4211999999996
2.6307,67.1123999999998,70.2872000000002
2.63625,66.9500000000009,70.7600000000004
2.6418,67.0015999999995,70.8888000000001
2.64735,66.9347999999992,70.0305999999995
2.6529,66.6648000000002,71.1907999999995
2.65845,66.7579999999997,69.6655999999978
2.664,67.0720000000006,71.4959999999997
2.66955,66.3029999999996,69.3960000000005
2.6751,66.7536000000006,71.7580000000013
2.68065,67.0688000000007,69.9881999999994
2.6862,67.3435999999994,71.8216000000003
2.69175,66.8670000000006,70.9949999999997
2.6973,66.8491999999994,69.9308000000006
2.70285,66.8287999999996,71.4421000000003
2.7084,67.0311999999996,69.3619999999994
2.71395,67.2930000000003,71.7984000000004
2.7195,66.702000000001,69.8059999999997
2.72505,67.2569999999996,71.5995999999997
2.7306,67.0080000000006,70.8795999999996
2.73615,66.8392000000002,70.9514000000004
2.7417,66.2880000000021,71.1856000000003
2.74725,66.8759999999995,69.7690000000006
2.7528,67.4392000000005,71.9579999999997
2.75835,66.5051999999998,70.0750000000005
2.7639,67.2479999999985,71.4376000000004
2.76945,66.4489999999999,69.1904
